"","Compound","Label","Stage","Temperature","Fraction","SEM","Accu"
"1","1-Methylhistidine",7,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"2","1-Methylhistidine",6,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"3","1-Methylhistidine",5,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"4","1-Methylhistidine",4,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"5","1-Methylhistidine",3,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"6","1-Methylhistidine",2,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"7","1-Methylhistidine",1,"12C-Ctrl","Acropora-unlabeled",0,NA,0
"8","1-Methylhistidine",0,"12C-Ctrl","Acropora-unlabeled",884414.4562,NA,884414.4562
"9","1-Methylhistidine",7,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"10","1-Methylhistidine",6,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"11","1-Methylhistidine",5,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"12","1-Methylhistidine",4,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"13","1-Methylhistidine",3,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"14","1-Methylhistidine",2,"12C-Ctrl","Pocillopora-unlabeled",0,NA,0
"15","1-Methylhistidine",1,"12C-Ctrl","Pocillopora-unlabeled",2404.79031,NA,2404.79031
"16","1-Methylhistidine",0,"12C-Ctrl","Pocillopora-unlabeled",83541.60578,NA,85946.39609
"17","1-Methylhistidine",7,"13C-Ctrl","Acropora-dark",0,NA,0
"18","1-Methylhistidine",6,"13C-Ctrl","Acropora-dark",0,NA,0
"19","1-Methylhistidine",5,"13C-Ctrl","Acropora-dark",0,NA,0
"20","1-Methylhistidine",4,"13C-Ctrl","Acropora-dark",0,NA,0
"21","1-Methylhistidine",3,"13C-Ctrl","Acropora-dark",0,NA,0
"22","1-Methylhistidine",2,"13C-Ctrl","Acropora-dark",0,NA,0
"23","1-Methylhistidine",1,"13C-Ctrl","Acropora-dark",0,NA,0
"24","1-Methylhistidine",0,"13C-Ctrl","Acropora-dark",284549.3497,NA,284549.3497
"25","1-Methylhistidine",7,"13C-Ctrl","Pocillopora-dark",0,NA,0
"26","1-Methylhistidine",6,"13C-Ctrl","Pocillopora-dark",0,NA,0
"27","1-Methylhistidine",5,"13C-Ctrl","Pocillopora-dark",0,NA,0
"28","1-Methylhistidine",4,"13C-Ctrl","Pocillopora-dark",0,NA,0
"29","1-Methylhistidine",3,"13C-Ctrl","Pocillopora-dark",0,NA,0
"30","1-Methylhistidine",2,"13C-Ctrl","Pocillopora-dark",0,NA,0
"31","1-Methylhistidine",1,"13C-Ctrl","Pocillopora-dark",15166.87171,NA,15166.87171
"32","1-Methylhistidine",0,"13C-Ctrl","Pocillopora-dark",289924.2066,NA,305091.07831
"33","1-Methylhistidine",7,"13C-Larvae","Pocillopora-27",0,0,0
"34","1-Methylhistidine",6,"13C-Larvae","Pocillopora-27",0,0,0
"35","1-Methylhistidine",5,"13C-Larvae","Pocillopora-27",0,0,0
"36","1-Methylhistidine",4,"13C-Larvae","Pocillopora-27",0,0,0
"37","1-Methylhistidine",3,"13C-Larvae","Pocillopora-27",0,0,0
"38","1-Methylhistidine",2,"13C-Larvae","Pocillopora-27",0,0,0
"39","1-Methylhistidine",1,"13C-Larvae","Pocillopora-27",465.650300283333,182.82393820666,465.650300283333
